-5.64;1.01
-3.86;0.56
-3.85;0.55
-3.55;0.55
-3.42;0.55
-3.01;0.55
-2.98;0.55
-2.82;0.55
-2.57;0.55
-2.21;0.55
-2.01;0.95
-1;0.58
-0.39;0.55
-0.19;0.55
-0.04;0.55
0.16;0.91
0.63;0.55
0.72;0.56
0.75;0.54
0.78;0.58
0.91;0.56
1.04;0.54
1.4;0.55
1.52;0.55
1.53;0.54
1.79;1.22
2;0.54
2.05;0.54
2.31;0.55
2.45;0.55
2.62;0.54
2.67;0.55
2.73;0.54
2.88;0.56
2.94;0.55
3.02;0.55
3.15;0.54
3.19;0.54
3.3;0.55
3.31;0.57
3.49;0.54
3.51;0.55
4.04;0.55
4.35;0.54
4.4;0.57
4.41;0.54
4.64;0.53
4.73;0.54
4.84;0.55
4.88;0.54
4.95;0.55
5.07;0.57
5.12;0.54
5.39;0.55
5.54;0.55
5.58;0.54
5.72;0.55
5.77;0.54
5.88;0.54
5.88;0.59
5.89;0.54
6.16;0.55
6.22;0.54
6.28;0.55
6.29;0.54
6.31;0.54
6.5;0.53
6.58;0.53
6.62;0.53
6.77;0.54
6.84;0.54
6.9;0.54
7.13;0.55
7.23;0.65
7.23;0.58
7.24;0.58
7.26;0.56
7.51;0.59
7.53;0.54
7.79;0.54
8.3;0.54
8.94;0.57
8.99;0.54
9.09;0.67
9.15;0.54
9.18;0.66
9.21;0.59
9.92;0.54
10;0.54
10.12;0.54
10.16;0.55
10.27;0.53
10.28;0.56
10.58;0.54
10.58;0.54
10.95;0.56
11.13;0.69
11.38;0.71
11.51;0.62
11.79;0.68
12.05;0.56
12.12;0.67
12.25;0.54
12.34;0.55
12.51;0.74
12.95;0.78
13.1;0.64
13.23;0.65
13.23;0.76
13.53;0.8
13.69;0.68
13.71;0.95
13.73;0.63
13.79;0.71
14.21;0.7
14.32;1.15
14.52;0.75
14.77;0.56
14.78;0.55
14.85;0.83
14.92;0.84
15.18;0.73
15.38;0.85
15.58;1.26
15.99;0.83
16.07;1.21
16.2;1.06
16.21;0.69
16.29;0.86
16.3;0.84
16.54;0.78
16.78;0.97
16.92;0.85
17.16;0.71
17.3;0.9
17.49;0.97
18.09;0.85
18.17;1.05
18.27;0.85
18.66;0.71
18.68;0.85
18.71;1.05
18.71;1.34
18.76;1.27
18.96;0.94
18.99;1.32
19.02;1.58
19.02;1.32
19.09;1.02
19.15;1.17
19.17;0.8
19.2;1.19
19.53;0.95
19.61;1.45
20.07;0.93
20.5;0.89
20.63;1.03
20.85;0.74
20.9;1.94
21.19;1.54
21.21;1.86
21.52;1.01
21.75;0.78
21.91;1.86
22.47;1.83
22.57;2.27
22.63;1.23
22.95;3.22
23;1.97
23;1.66
23.27;1.63
23.42;1.95
23.43;2.07
23.94;2.52
24.13;1.14
24.55;3.21
24.64;1.89
24.65;2.61
25.23;3.29
26;1.84
26.97;3.82
27.33;4.64
